walmart-sales-dataset-of-45stores_4 columns
Weekly_Sales;Temperature;Fuel_Price;Unemployment
1643690.9;42.31;2.572;8.106
1641957.44;38.51;2.548;8.106
1611968.17;39.93;2.514;8.106
1409727.59;46.63;2.561;8.106
1554806.68;46.5;2.625;8.106
1439541.59;57.79;2.667;8.106
1472515.79;54.58;2.72;8.106
1404429.92;51.45;2.732;8.106
1594968.28;62.27;2.719;7.808
1545418.53;65.86;2.77;7.808
1466058.28;66.32;2.808;7.808
1391256.12;64.84;2.795;7.808
1425100.71;67.41;2.78;7.808
1603955.12;72.55;2.835;7.808
1494251.5;74.78;2.854;7.808
1399662.07;76.44;2.826;7.808
1432069.95;80.44;2.759;7.808
1615524.71;80.69;2.705;7.808
1542561.09;80.43;2.668;7.808
1503284.06;84.11;2.637;7.808
1422711.6;84.34;2.653;7.808
1492418.14;80.91;2.669;7.787
1546074.18;80.48;2.642;7.787
1448938.92;83.15;2.623;7.787
1385065.2;83.36;2.608;7.787
1371986.6;81.84;2.64;7.787
1605491.78;87.16;2.627;7.787
1508237.76;87;2.692;7.787
1513080.49;86.65;2.664;7.787
1449142.92;85.22;2.619;7.787
1540163.53;81.21;2.577;7.787
1507460.69;78.69;2.565;7.787
1430378.67;82.11;2.582;7.787
1351791.03;80.94;2.624;7.787
1453329.5;71.89;2.603;7.838
1508239.93;63.93;2.633;7.838
1459409.1;67.18;2.72;7.838
1345454;69.86;2.725;7.838
1384209.22;69.64;2.716;7.838
1551659.28;58.74;2.689;7.838
1494479.49;59.61;2.728;7.838
1483784.18;51.41;2.771;7.838
1955624.11;64.52;2.735;7.838
1548033.78;49.27;2.708;7.838
1682614.26;46.33;2.843;7.838
1891034.93;49.84;2.869;7.838
2387950.2;52.33;2.886;7.838
1367320.01;48.43;2.943;7.838
1444732.28;48.27;2.976;7.742
1391013.96;35.4;2.983;7.742
1327405.42;44.04;3.016;7.742
1316899.31;43.83;3.01;7.742
1606629.58;42.27;2.989;7.742
1649614.93;36.39;3.022;7.742
1686842.78;57.36;3.045;7.742
1456800.28;62.9;3.065;7.742
1636263.41;59.58;3.288;7.742
1553191.63;53.56;3.459;7.742
1576818.06;62.76;3.488;7.742
1541102.38;69.97;3.473;7.742
1495064.75;59.17;3.524;7.682
1614259.35;67.84;3.622;7.682
1559889;71.27;3.743;7.682
1564819.81;72.99;3.807;7.682
1455090.69;72.03;3.81;7.682
1629391.28;64.61;3.906;7.682
1604775.58;75.64;3.899;7.682
1428218.27;67.63;3.907;7.682
1466046.67;77.72;3.786;7.682
1635078.41;83;3.699;7.682
1588948.32;83.13;3.648;7.682
1532114.86;86.41;3.637;7.682
1438830.15;83.58;3.594;7.682
1488538.09;85.55;3.524;7.962
1534849.64;85.83;3.48;7.962
1455119.97;88.54;3.575;7.962
1396926.82;85.77;3.651;7.962
1352219.79;86.83;3.682;7.962
1624383.75;91.65;3.684;7.962
1525147.09;90.76;3.638;7.962
1530761.43;89.94;3.554;7.962
1464693.46;87.96;3.523;7.962
1550229.22;87.83;3.533;7.962
1540471.24;76;3.546;7.962
1514259.78;79.94;3.526;7.962
1380020.27;75.8;3.467;7.962
1394561.83;79.69;3.355;7.962
1630989.95;69.31;3.285;7.866
1493525.93;71.74;3.274;7.866
1502562.78;63.71;3.353;7.866
1445249.09;66.57;3.372;7.866
1697229.58;54.98;3.332;7.866
1594938.89;59.11;3.297;7.866
1539483.7;62.25;3.308;7.866
2033320.66;60.14;3.236;7.866
1584083.95;48.91;3.172;7.866
1799682.38;43.93;3.158;7.866
1881176.67;51.63;3.159;7.866
2270188.99;47.96;3.112;7.866
1497462.72;44.55;3.129;7.866
1550369.92;49.01;3.157;7.348
1459601.17;48.53;3.261;7.348
1394393.84;54.11;3.268;7.348
1319325.59;54.26;3.29;7.348
1636339.65;56.55;3.36;7.348
1802477.43;48.02;3.409;7.348
1819870;45.32;3.51;7.348
1539387.83;57.25;3.555;7.348
1688420.76;60.96;3.63;7.348
1675431.16;58.76;3.669;7.348
1677472.78;64.74;3.734;7.348
1511068.07;65.93;3.787;7.348
1649604.63;67.61;3.845;7.348
1899676.88;70.43;3.891;7.143
1621031.7;69.07;3.891;7.143
1521577.87;66.76;3.877;7.143
1468928.37;67.23;3.814;7.143
1684519.99;75.55;3.749;7.143
1611096.05;73.77;3.688;7.143
1595901.87;70.33;3.63;7.143
1555444.55;77.22;3.561;7.143
1624477.58;77.95;3.501;7.143
1697230.96;78.3;3.452;7.143
1630607;79.35;3.393;7.143
1527845.81;78.39;3.346;7.143
1540421.49;84.88;3.286;7.143
1769854.16;81.57;3.227;6.908
1527014.04;77.12;3.256;6.908
1497954.76;80.42;3.311;6.908
1439123.71;82.66;3.407;6.908
1631135.79;86.11;3.417;6.908
1592409.97;85.05;3.494;6.908
1597868.05;84.85;3.571;6.908
1494122.38;77.66;3.62;6.908
1582083.4;80.49;3.638;6.908
1661767.33;83.96;3.73;6.908
1517428.87;74.97;3.717;6.908
1506126.06;69.87;3.721;6.908
1437059.26;76.08;3.666;6.908
1670785.97;68.55;3.617;6.573
1573072.81;62.99;3.601;6.573
1508068.77;67.97;3.594;6.573
1493659.74;69.16;3.506;6.573
2136989.46;40.19;2.572;8.324
2137809.5;38.49;2.548;8.324
2124451.54;39.69;2.514;8.324
1865097.27;46.1;2.561;8.324
1991013.13;47.17;2.625;8.324
1990483.78;57.56;2.667;8.324
1946070.88;54.52;2.72;8.324
1750197.81;51.26;2.732;8.324
2066187.72;63.27;2.719;8.2
1954689.21;65.41;2.77;8.2
1874957.94;68.07;2.808;8.2
1821990.93;65.11;2.795;8.2
1802450.29;66.98;2.78;8.2
2042581.71;71.28;2.835;8.2
1880752.36;73.31;2.854;8.2
1896937.1;74.83;2.826;8.2
1957113.89;81.13;2.759;8.2
2102539.93;81.81;2.705;8.2
2025538.76;83.4;2.668;8.2
2001636.96;85.81;2.637;8.2
1939927.09;86.26;2.653;8.2
2003940.64;82.74;2.669;8.099
1880902.62;82.59;2.642;8.099
1845879.79;85.32;2.623;8.099
1781717.71;87.66;2.608;8.099
1804246.16;83.49;2.64;8.099
1991909.98;89.53;2.627;8.099
1895601.05;89.05;2.692;8.099
1964335.23;88.7;2.664;8.099
1863840.49;87.12;2.619;8.099
1904608.09;81.83;2.577;8.099
1839128.83;79.09;2.565;8.099
1793903.6;82.05;2.582;8.099
1724557.22;81.79;2.624;8.099
1827440.43;69.24;2.603;8.163
1849921.44;63.19;2.633;8.163
1794355.49;65.8;2.72;8.163
1737947.64;68.5;2.725;8.163
1802755.11;66.24;2.716;8.163
1939061.41;57.85;2.689;8.163
1916812.74;59.69;2.728;8.163
1956739.17;50.81;2.771;8.163
2658725.29;62.98;2.735;8.163
2015781.27;49.33;2.708;8.163
2378726.55;45.5;2.843;8.163
2609166.75;47.55;2.869;8.163
3436007.68;49.97;2.886;8.163
1750434.55;47.3;2.943;8.163
1758050.79;44.69;2.976;8.028
1744193.58;33.02;2.983;8.028
1751384.9;41.4;3.016;8.028
1695371.68;42.83;3.01;8.028
1929346.23;38.25;2.989;8.028
2168041.61;33.19;3.022;8.028
2080884.82;57.83;3.045;8.028
1833511.08;60.8;3.065;8.028
1981607.78;57.77;3.288;8.028
1879107.31;52.7;3.459;8.028
1902557.66;62.32;3.488;8.028
1766162.05;69.42;3.473;8.028
1800171.36;55.43;3.524;7.931
1847552.61;67;3.622;7.931
1856467.84;69.48;3.743;7.931
1886339.6;69.39;3.807;7.931
1745545.28;69.21;3.81;7.931
1837743.6;61.48;3.906;7.931
1838513.07;74.61;3.899;7.931
1688281.86;67.14;3.907;7.931
1797732.56;76.42;3.786;7.931
1933756.21;83.07;3.699;7.931
1929153.16;83.4;3.648;7.931
1953771.99;86.53;3.637;7.931
1790925.8;85.17;3.594;7.931
1866243;85.69;3.524;7.852
1853161.99;87.7;3.48;7.852
1785187.29;89.83;3.575;7.852
1743816.41;89.34;3.651;7.852
1680693.06;90.07;3.682;7.852
1876704.26;93.34;3.684;7.852
1812768.26;91.58;3.638;7.852
1844094.59;89.86;3.554;7.852
1821139.91;90.45;3.523;7.852
1809119.7;89.64;3.533;7.852
1748000.65;77.97;3.546;7.852
1691439.52;78.85;3.526;7.852
1669299.78;75.58;3.467;7.852
1650394.44;78.14;3.355;7.852
1837553.43;69.92;3.285;7.441
1743882.19;71.67;3.274;7.441
1834680.25;64.53;3.353;7.441
1769296.25;65.87;3.372;7.441
1959707.9;55.53;3.332;7.441
1920725.15;59.33;3.297;7.441
1902762.5;62.01;3.308;7.441
2614202.3;56.36;3.236;7.441
1954952;48.74;3.172;7.441
2290549.32;41.76;3.158;7.441
2432736.52;50.13;3.159;7.441
3224369.8;46.66;3.112;7.441
1874226.52;44.57;3.129;7.441
1799520.14;46.75;3.157;7.057
1744725.48;45.99;3.261;7.057
1711769.11;51.7;3.268;7.057
1660906.14;50.5;3.29;7.057
1935299.94;55.21;3.36;7.057
2103322.68;46.98;3.409;7.057
2196688.46;43.82;3.51;7.057
1861802.7;54.63;3.555;7.057
1952555.66;58.79;3.63;7.057
1937628.26;57.11;3.669;7.057
1976082.13;63.68;3.734;7.057
1790439.16;64.01;3.787;7.057
1857480.84;66.83;3.845;7.057
2129035.91;68.43;3.891;6.891
1935869.1;68.08;3.891;6.891
1847344.45;65.69;3.877;6.891
1764133.09;67.2;3.814;6.891
1923957.09;76.73;3.749;6.891
1917520.99;73.87;3.688;6.891
2000940.67;71.27;3.63;6.891
1912791.09;78.19;3.561;6.891
1910092.37;78.38;3.501;6.891
2010216.49;78.69;3.452;6.891
1962924.3;80.56;3.393;6.891
1887733.21;81.04;3.346;6.891
1881046.12;86.32;3.286;6.891
2041507.4;84.2;3.227;6.565
1830075.13;80.17;3.256;6.565
1819666.46;83.23;3.311;6.565
1757923.88;86.37;3.407;6.565
1946104.64;90.22;3.417;6.565
1866719.96;88.55;3.494;6.565
1928016.01;84.79;3.571;6.565
1876788.15;76.91;3.62;6.565
1947083.3;82.64;3.638;6.565
1898777.07;87.65;3.73;6.565
1814806.63;75.88;3.717;6.565
1829415.67;71.09;3.721;6.565
1746470.56;79.45;3.666;6.565
1998321.04;70.27;3.617;6.17
1900745.13;60.97;3.601;6.17
1847990.41;68.08;3.594;6.17
1834458.35;69.79;3.506;6.17
461622.22;45.71;2.572;7.368
420728.96;47.93;2.548;7.368
421642.19;47.07;2.514;7.368
407204.86;52.05;2.561;7.368
415202.04;53.04;2.625;7.368
384200.69;63.08;2.667;7.368
375328.59;60.42;2.72;7.368
359949.27;57.06;2.732;7.368
423294.4;65.56;2.719;7.343
415870.28;68;2.77;7.343
354993.26;66.98;2.808;7.343
339976.65;67.87;2.795;7.343
361248.39;70.24;2.78;7.343
399323.86;73.47;2.835;7.343
384357.94;77.18;2.854;7.343
343763.17;75.81;2.826;7.343
350089.23;78.6;2.759;7.343
396968.8;78.53;2.705;7.343
355017.09;82.1;2.668;7.343
364076.85;83.52;2.637;7.343
357346.48;83.79;2.653;7.343
381151.72;82.2;2.669;7.346
349214.18;81.75;2.642;7.346
352728.78;84.32;2.623;7.346
352864.49;83.32;2.608;7.346
347955.05;82.04;2.64;7.346
402635.76;85.13;2.627;7.346
339597.38;86.74;2.692;7.346
351728.21;88.02;2.664;7.346
362134.09;86.15;2.619;7.346
366473.97;84.16;2.577;7.346
352260.97;80.84;2.565;7.346
363064.64;82.36;2.582;7.346
355626.87;76.9;2.624;7.346
358784.1;73.6;2.603;7.564
395107.35;66.99;2.633;7.564
345584.39;69.71;2.72;7.564
348895.98;71.64;2.725;7.564
348591.74;72.04;2.716;7.564
423175.56;62.94;2.689;7.564
386635.03;62.79;2.728;7.564
372545.32;57.72;2.771;7.564
565567.84;68.71;2.735;7.564
476420.77;53.76;2.708;7.564
467642.03;51.13;2.843;7.564
498159.39;52.2;2.869;7.564
605990.41;57.16;2.886;7.564
382677.76;53.2;2.943;7.564
378241.34;53.35;2.976;7.551
381061.1;44.76;2.983;7.551
350876.7;50.74;3.016;7.551
364866.24;48.71;3.01;7.551
438516.53;45.95;2.989;7.551
430526.21;43.57;3.022;7.551
432782.1;61.58;3.045;7.551
397211.19;67.4;3.065;7.551
437084.51;65.11;3.288;7.551
404753.3;61.29;3.459;7.551
392109.51;69.47;3.488;7.551
380683.67;72.94;3.473;7.551
374556.08;68.76;3.524;7.574
384075.31;72.55;3.622;7.574
366250.69;75.88;3.743;7.574
391860.04;76.91;3.807;7.574
367405.4;78.69;3.81;7.574
413042.12;69.45;3.906;7.574
386312.68;79.87;3.899;7.574
364603.13;75.79;3.907;7.574
369350.6;84.41;3.786;7.574
394507.84;84.29;3.699;7.574
391638.75;84.84;3.648;7.574
403423.34;86.96;3.637;7.574
385520.71;84.94;3.594;7.574
368962.72;85.1;3.524;7.567
395146.24;85.38;3.48;7.567
373454.33;87.14;3.575;7.567
360617.37;86.19;3.651;7.567
345381.29;88.07;3.682;7.567
409981.25;88.45;3.684;7.567
380376.85;88.88;3.638;7.567
379716.91;88.44;3.554;7.567
366367.55;87.67;3.523;7.567
375988.69;89.12;3.533;7.567
377347.49;81.72;3.546;7.567
375629.51;83.63;3.526;7.567
365248.94;80.19;3.467;7.567
368477.93;82.58;3.355;7.567
403342.4;75.54;3.285;7.197
368282.57;73.75;3.274;7.197
394976.36;69.03;3.353;7.197
389540.62;71.04;3.372;7.197
459443.22;59.31;3.332;7.197
407764.25;61.7;3.297;7.197
398838.97;63.91;3.308;7.197
556925.19;68;3.236;7.197
472511.32;54.97;3.172;7.197
468772.8;49.26;3.158;7.197
510747.62;57.95;3.159;7.197
551221.21;53.41;3.112;7.197
410553.88;48.29;3.129;7.197
398178.21;52.42;3.157;6.833
367438.62;51.86;3.261;6.833
365818.61;56.2;3.268;6.833
349518.1;58.06;3.29;6.833
424960.66;59.33;3.36;6.833
473292.47;51.65;3.409;6.833
475591.08;52.39;3.51;6.833
418925.47;60.12;3.555;6.833
469752.56;61.65;3.63;6.833
445162.05;60.71;3.669;6.833
411775.8;64;3.734;6.833
413907.25;66.53;3.787;6.833
407488.84;69.36;3.845;6.833
503232.13;73.01;3.891;6.664
420789.74;72.83;3.891;6.664
434822.13;72.05;3.877;6.664
394616.11;73.39;3.814;6.664
439913.57;79.51;3.749;6.664
431985.36;75.19;3.688;6.664
418112.76;72.38;3.63;6.664
413701.29;78.58;3.561;6.664
432268.53;81.55;3.501;6.664
446336.8;81.65;3.452;6.664
442074.79;84.66;3.393;6.664
419497.95;82.7;3.346;6.664
422965.33;86.42;3.286;6.664
411206.5;83.14;3.227;6.334
416913.1;82.28;3.256;6.334
432424.85;81.38;3.311;6.334
389427.9;84.94;3.407;6.334
419990.29;86.55;3.417;6.334
391811.6;85.85;3.494;6.334
394918.83;87.36;3.571;6.334
412449.67;83.01;3.62;6.334
408838.73;85.18;3.638;6.334
408229.73;84.99;3.73;6.334
407589.16;78.36;3.717;6.334
414392.09;72.78;3.721;6.334
389813.02;77.46;3.666;6.334
443557.65;72.74;3.617;6.034
410804.39;70.31;3.601;6.034
424513.08;73.44;3.594;6.034
405432.7;74.66;3.506;6.034
2135143.87;43.76;2.598;8.623
2188307.39;28.84;2.573;8.623
2049860.26;36.45;2.54;8.623
1925728.84;41.36;2.59;8.623
1971057.44;43.49;2.654;8.623
1894324.09;49.63;2.704;8.623
1897429.36;55.19;2.743;8.623
1762539.3;39.91;2.752;8.623
1979247.12;48.77;2.74;7.896
1818452.72;54.16;2.773;7.896
1851519.69;56.23;2.81;7.896
1802677.9;56.87;2.805;7.896
1817273.28;53.04;2.787;7.896
2000626.14;56.77;2.836;7.896
1875597.28;62.35;2.845;7.896
1903752.6;67.4;2.82;7.896
1857533.7;67.73;2.756;7.896
1903290.58;70.83;2.701;7.896
1870619.23;78.45;2.668;7.896
1929736.35;81.53;2.635;7.896
1846651.95;81.1;2.654;7.896
1881337.21;73.66;2.668;7.372
1812208.22;80.35;2.637;7.372
1898427.66;78.53;2.621;7.372
1848426.78;79.78;2.612;7.372
1796637.61;80.7;2.65;7.372
1907638.58;76.53;2.64;7.372
2007050.75;78.08;2.698;7.372
1997181.09;78.83;2.671;7.372
1848403.92;74.44;2.621;7.372
1935857.58;76.8;2.584;7.372
1865820.81;73.54;2.574;7.372
1899959.61;64.91;2.594;7.372
1810684.68;60.96;2.642;7.372
1842821.02;63.96;2.619;7.127
1951494.85;67.73;2.645;7.127
1867345.09;62.03;2.732;7.127
1927610.06;64.17;2.736;7.127
1933333;56.94;2.718;7.127
2013115.79;51.6;2.699;7.127
1999794.26;52.65;2.741;7.127
2097809.4;48.05;2.78;7.127
2789469.45;48.08;2.752;7.127
2102530.17;46.4;2.727;7.127
2302504.86;42.4;2.86;7.127
2740057.14;46.57;2.884;7.127
3526713.39;43.21;2.887;7.127
1794868.74;38.09;2.955;7.127
1862476.27;39.34;2.98;6.51
1865502.46;31.6;2.992;6.51
1886393.94;38.34;3.017;6.51
1814240.85;40.6;3.022;6.51
2119086.04;34.61;2.996;6.51
2187847.29;33.29;3.033;6.51
2316495.56;48.17;3.058;6.51
2078094.69;49;3.087;6.51
2103455.75;46.56;3.305;6.51
2039818.41;50.93;3.461;6.51
2116475.38;51.86;3.495;6.51
1944164.32;59.1;3.48;6.51
1900246.47;56.99;3.521;5.946
2074953.46;62.61;3.605;5.946
1960587.76;62.34;3.724;5.946
2220600.76;68.8;3.781;5.946
1878167.44;64.22;3.781;5.946
2063682.76;63.41;3.866;5.946
2002362.37;70.65;3.872;5.946
2015563.48;70.49;3.881;5.946
1986597.95;73.65;3.771;5.946
2065377.15;78.26;3.683;5.946
2073951.38;80.05;3.64;5.946
2141210.62;83.51;3.618;5.946
2008344.92;81.85;3.57;5.946
2051533.53;84.54;3.504;5.644
2066541.86;84.59;3.469;5.644
2049046.95;83.27;3.563;5.644
2036231.39;82.84;3.627;5.644
1989674.07;84.36;3.659;5.644
2160057.39;86.09;3.662;5.644
2105668.74;82.98;3.617;5.644
2232892.1;82.77;3.55;5.644
1988490.21;81.47;3.523;5.644
2078420.31;77.99;3.533;5.644
2093139.01;73.34;3.554;5.644
2075577.33;72.76;3.532;5.644
2031406.41;69.23;3.473;5.644
1929486.63;72.15;3.371;5.644
2166737.65;65.79;3.299;5.143
2074548.85;63.75;3.283;5.143
2207742.13;64.79;3.361;5.143
2151659.59;55.31;3.362;5.143
2281217.31;49.86;3.322;5.143
2203028.96;47.12;3.286;5.143
2243946.59;50.44;3.294;5.143
3004702.33;47.96;3.225;5.143
2180999.26;38.71;3.176;5.143
2508955.24;31.64;3.153;5.143
2771397.17;36.44;3.149;5.143
3676388.98;35.92;3.103;5.143
2007105.86;36.89;3.119;5.143
2047766.07;38.64;3.158;4.607
1941676.61;34.41;3.263;4.607
2005097.76;42.09;3.273;4.607
1928720.51;40.31;3.29;4.607
2173373.91;41.81;3.354;4.607
2374660.64;33;3.411;4.607
2427640.17;34.19;3.493;4.607
2226662.17;41.31;3.541;4.607
2206319.9;50.38;3.619;4.607
2202450.81;53.63;3.667;4.607
2214967.44;59.81;3.707;4.607
2091592.54;59.07;3.759;4.607
2089381.77;72.63;3.82;4.607
2470206.13;67.69;3.864;4.308
2105301.39;68.69;3.881;4.308
2144336.89;68.6;3.864;4.308
2064065.66;76.47;3.81;4.308
2196968.33;80.14;3.747;4.308
2127661.17;67.64;3.685;4.308
2207214.81;68.43;3.62;4.308
2154137.67;77.47;3.551;4.308
2179360.94;77.41;3.483;4.308
2245257.18;78.11;3.433;4.308
2234190.93;80.94;3.372;4.308
2197299.65;81.63;3.329;4.308
2128362.92;84.23;3.257;4.308
2224499.28;80.37;3.187;4.077
2100252.61;76.86;3.224;4.077
2175563.69;79.14;3.263;4.077
2048613.65;81.06;3.356;4.077
2174514.13;83.86;3.374;4.077
2193367.69;83.21;3.476;4.077
2283540.3;81.41;3.552;4.077
2125241.68;75.76;3.61;4.077
2081181.35;76.47;3.646;4.077
2125104.72;82.09;3.709;4.077
2117854.6;68.2;3.706;4.077
2119438.53;68.97;3.721;4.077
2027620.23;71.74;3.666;4.077
2209835.43;63.07;3.62;3.879
2133026.07;57.11;3.603;3.879
2097266.85;64.46;3.61;3.879
2149594.46;63.64;3.514;3.879
317173.1;39.7;2.572;6.566
311825.7;39.81;2.548;6.566
303447.57;41.14;2.514;6.566
270281.63;46.7;2.561;6.566
288855.71;48.89;2.625;6.566
297293.59;58.5;2.667;6.566
281706.41;55.46;2.72;6.566
273282.97;52.47;2.732;6.566
331406;63.18;2.719;6.465
328020.49;65.19;2.77;6.465
306858.69;65.3;2.808;6.465
288839.73;65.13;2.795;6.465
298697.84;67.53;2.78;6.465
333522.6;71.53;2.835;6.465
296673.77;74.79;2.854;6.465
301615.49;75.2;2.826;6.465
310013.11;79.81;2.759;6.465
337825.89;79.54;2.705;6.465
296641.91;80.7;2.668;6.465
313795.6;83.91;2.637;6.465
295257.3;83.72;2.653;6.465
305993.27;81.25;2.669;6.496
291808.87;81.14;2.642;6.496
280701.7;83.98;2.623;6.496
274742.63;83.66;2.608;6.496
268929.03;82.46;2.64;6.496
303043.02;86.1;2.627;6.496
286477.35;87.41;2.692;6.496
287205.38;87.71;2.664;6.496
288519.75;87.05;2.619;6.496
323798;84.06;2.577;6.496
306533.08;79.86;2.565;6.496
282558.65;82.28;2.582;6.496
293131.58;78.53;2.624;6.496
283178.12;71.1;2.603;6.768
290494.85;64.99;2.633;6.768
280681.2;68.11;2.72;6.768
284988.27;70.96;2.725;6.768
278031.81;70.58;2.716;6.768
325310.3;58.88;2.689;6.768
