Weekly_Sales,Temperature
1643690.9,42.31
1641957.44,38.51
1611968.17,39.93
1409727.59,46.63
1554806.68,46.5
1439541.59,57.79
1472515.79,54.58
1404429.92,51.45
1594968.28,62.27
1545418.53,65.86
1466058.28,66.32
1391256.12,64.84
1425100.71,67.41
1603955.12,72.55
1494251.5,74.78
1399662.07,76.44
1432069.95,80.44
1615524.71,80.69
1542561.09,80.43
1503284.06,84.11
1422711.6,84.34
1492418.14,80.91
1546074.18,80.48
1448938.92,83.15
1385065.2,83.36
1371986.6,81.84
1605491.78,87.16
1508237.76,87
1513080.49,86.65
1449142.92,85.22
1540163.53,81.21
1507460.69,78.69
1430378.67,82.11
1351791.03,80.94
1453329.5,71.89
1508239.93,63.93
1459409.1,67.18
1345454,69.86
1384209.22,69.64
1551659.28,58.74
1494479.49,59.61
1483784.18,51.41
1955624.11,64.52
1548033.78,49.27
1682614.26,46.33
1891034.93,49.84
2387950.2,52.33
1367320.01,48.43
1444732.28,48.27
1391013.96,35.4
1327405.42,44.04
1316899.31,43.83
1606629.58,42.27
1649614.93,36.39
1686842.78,57.36
1456800.28,62.9
1636263.41,59.58
1553191.63,53.56
1576818.06,62.76
1541102.38,69.97
1495064.75,59.17
1614259.35,67.84
1559889,71.27
1564819.81,72.99
1455090.69,72.03
1629391.28,64.61
1604775.58,75.64
1428218.27,67.63
1466046.67,77.72
1635078.41,83
1588948.32,83.13
1532114.86,86.41
1438830.15,83.58
1488538.09,85.55
1534849.64,85.83
1455119.97,88.54
1396926.82,85.77
1352219.79,86.83
1624383.75,91.65
1525147.09,90.76
1530761.43,89.94
1464693.46,87.96
1550229.22,87.83
1540471.24,76
1514259.78,79.94
1380020.27,75.8
1394561.83,79.69
1630989.95,69.31
1493525.93,71.74
1502562.78,63.71
1445249.09,66.57
1697229.58,54.98
1594938.89,59.11
1539483.7,62.25
2033320.66,60.14
1584083.95,48.91
1799682.38,43.93
1881176.67,51.63
2270188.99,47.96
1497462.72,44.55
1550369.92,49.01
1459601.17,48.53
1394393.84,54.11
1319325.59,54.26
1636339.65,56.55
1802477.43,48.02
1819870,45.32
1539387.83,57.25
1688420.76,60.96
1675431.16,58.76
1677472.78,64.74
1511068.07,65.93
1649604.63,67.61
1899676.88,70.43
1621031.7,69.07
1521577.87,66.76
1468928.37,67.23
1684519.99,75.55
1611096.05,73.77
1595901.87,70.33
1555444.55,77.22
1624477.58,77.95
1697230.96,78.3
1630607,79.35
1527845.81,78.39
1540421.49,84.88
1769854.16,81.57
1527014.04,77.12
1497954.76,80.42
1439123.71,82.66
1631135.79,86.11
1592409.97,85.05
1597868.05,84.85
1494122.38,77.66
1582083.4,80.49
1661767.33,83.96
1517428.87,74.97
1506126.06,69.87
1437059.26,76.08
1670785.97,68.55
1573072.81,62.99
1508068.77,67.97
1493659.74,69.16
2136989.46,40.19
2137809.5,38.49
2124451.54,39.69
1865097.27,46.1
1991013.13,47.17
1990483.78,57.56
1946070.88,54.52
1750197.81,51.26
2066187.72,63.27
1954689.21,65.41
1874957.94,68.07
1821990.93,65.11
1802450.29,66.98
2042581.71,71.28
1880752.36,73.31
1896937.1,74.83
1957113.89,81.13
2102539.93,81.81
2025538.76,83.4
2001636.96,85.81
1939927.09,86.26
2003940.64,82.74
1880902.62,82.59
1845879.79,85.32
1781717.71,87.66
1804246.16,83.49
1991909.98,89.53
1895601.05,89.05
1964335.23,88.7
1863840.49,87.12
1904608.09,81.83
1839128.83,79.09
1793903.6,82.05
1724557.22,81.79
1827440.43,69.24
1849921.44,63.19
1794355.49,65.8
1737947.64,68.5
1802755.11,66.24
1939061.41,57.85
1916812.74,59.69
1956739.17,50.81
2658725.29,62.98
2015781.27,49.33
2378726.55,45.5
2609166.75,47.55
3436007.68,49.97
1750434.55,47.3
1758050.79,44.69
1744193.58,33.02
1751384.9,41.4
1695371.68,42.83
1929346.23,38.25
2168041.61,33.19
2080884.82,57.83
1833511.08,60.8
1981607.78,57.77
1879107.31,52.7
1902557.66,62.32
1766162.05,69.42
1800171.36,55.43
1847552.61,67
1856467.84,69.48
1886339.6,69.39
1745545.28,69.21
1837743.6,61.48
1838513.07,74.61
1688281.86,67.14
1797732.56,76.42
1933756.21,83.07
1929153.16,83.4
1953771.99,86.53
1790925.8,85.17
1866243,85.69
1853161.99,87.7
1785187.29,89.83
1743816.41,89.34
1680693.06,90.07
1876704.26,93.34
1812768.26,91.58
1844094.59,89.86
