Store,Weekly_Sales,Temperature,CPI
1,1643690.9,42.31,211.0963582
1,1641957.44,38.51,211.2421698
1,1611968.17,39.93,211.2891429
1,1409727.59,46.63,211.3196429
1,1554806.68,46.5,211.3501429
1,1439541.59,57.79,211.3806429
1,1472515.79,54.58,211.215635
1,1404429.92,51.45,211.0180424
1,1594968.28,62.27,210.8204499
1,1545418.53,65.86,210.6228574
1,1466058.28,66.32,210.4887
1,1391256.12,64.84,210.4391228
1,1425100.71,67.41,210.3895456
1,1603955.12,72.55,210.3399684
1,1494251.5,74.78,210.3374261
1,1399662.07,76.44,210.6170934
1,1432069.95,80.44,210.8967606
1,1615524.71,80.69,211.1764278
1,1542561.09,80.43,211.4560951
1,1503284.06,84.11,211.4537719
1,1422711.6,84.34,211.3386526
1,1492418.14,80.91,211.2235333
1,1546074.18,80.48,211.108414
1,1448938.92,83.15,211.1003854
1,1385065.2,83.36,211.2351443
1,1371986.6,81.84,211.3699032
1,1605491.78,87.16,211.5046621
1,1508237.76,87,211.6394211
1,1513080.49,86.65,211.6033633
1,1449142.92,85.22,211.5673056
1,1540163.53,81.21,211.5312479
1,1507460.69,78.69,211.4951902
1,1430378.67,82.11,211.5224596
1,1351791.03,80.94,211.5972246
1,1453329.5,71.89,211.6719895
1,1508239.93,63.93,211.7467544
1,1459409.1,67.18,211.8137436
1,1345454,69.86,211.8612937
1,1384209.22,69.64,211.9088438
1,1551659.28,58.74,211.9563939
1,1494479.49,59.61,212.003944
1,1483784.18,51.41,211.8896737
1,1955624.11,64.52,211.7484333
1,1548033.78,49.27,211.607193
1,1682614.26,46.33,211.4659526
1,1891034.93,49.84,211.4053124
1,2387950.2,52.33,211.4051222
1,1367320.01,48.43,211.4049321
1,1444732.28,48.27,211.4047419
1,1391013.96,35.4,211.4574109
1,1327405.42,44.04,211.8272343
1,1316899.31,43.83,212.1970577
1,1606629.58,42.27,212.5668812
1,1649614.93,36.39,212.9367046
1,1686842.78,57.36,213.2478853
1,1456800.28,62.9,213.535609
1,1636263.41,59.58,213.8233327
1,1553191.63,53.56,214.1110564
1,1576818.06,62.76,214.3627114
1,1541102.38,69.97,214.5999389
1,1495064.75,59.17,214.8371664
1,1614259.35,67.84,215.0743939
1,1559889,71.27,215.2918561
1,1564819.81,72.99,215.4599053
1,1455090.69,72.03,215.6279544
1,1629391.28,64.61,215.7960035
1,1604775.58,75.64,215.9640526
1,1428218.27,67.63,215.7339202
1,1466046.67,77.72,215.5037878
1,1635078.41,83,215.2736553
1,1588948.32,83.13,215.0435229
1,1532114.86,86.41,214.9980596
1,1438830.15,83.58,215.0910982
1,1488538.09,85.55,215.1841368
1,1534849.64,85.83,215.2771754
1,1455119.97,88.54,215.3611087
1,1396926.82,85.77,215.4222784
1,1352219.79,86.83,215.4834482
1,1624383.75,91.65,215.544618
1,1525147.09,90.76,215.6057878
1,1530761.43,89.94,215.6693107
1,1464693.46,87.96,215.7332258
1,1550229.22,87.83,215.7971409
1,1540471.24,76,215.861056
1,1514259.78,79.94,216.0410526
1,1380020.27,75.8,216.3758246
1,1394561.83,79.69,216.7105965
1,1630989.95,69.31,217.0453684
1,1493525.93,71.74,217.3552733
1,1502562.78,63.71,217.5159762
1,1445249.09,66.57,217.6766791
1,1697229.58,54.98,217.837382
1,1594938.89,59.11,217.9980849
1,1539483.7,62.25,218.2205088
1,2033320.66,60.14,218.4676211
1,1584083.95,48.91,218.7147333
1,1799682.38,43.93,218.9618456
1,1881176.67,51.63,219.1794533
1,2270188.99,47.96,219.3577216
1,1497462.72,44.55,219.5359898
1,1550369.92,49.01,219.7142581
1,1459601.17,48.53,219.8925263
1,1394393.84,54.11,219.9856893
1,1319325.59,54.26,220.0788523
1,1636339.65,56.55,220.1720153
1,1802477.43,48.02,220.2651783
1,1819870,45.32,220.4257586
1,1539387.83,57.25,220.636902
1,1688420.76,60.96,220.8480454
1,1675431.16,58.76,221.0591887
1,1677472.78,64.74,221.2118132
1,1511068.07,65.93,221.2864126
1,1649604.63,67.61,221.3610119
1,1899676.88,70.43,221.4356112
1,1621031.7,69.07,221.5102105
1,1521577.87,66.76,221.5640737
1,1468928.37,67.23,221.6179368
1,1684519.99,75.55,221.6718
1,1611096.05,73.77,221.7256632
1,1595901.87,70.33,221.742674
1,1555444.55,77.22,221.744944
1,1624477.58,77.95,221.7472139
1,1697230.96,78.3,221.7494839
1,1630607,79.35,221.7626421
1,1527845.81,78.39,221.8030211
1,1540421.49,84.88,221.8434
1,1769854.16,81.57,221.8837789
1,1527014.04,77.12,221.9241579
1,1497954.76,80.42,221.9327267
1,1439123.71,82.66,221.9412954
1,1631135.79,86.11,221.9498642
1,1592409.97,85.05,221.9584329
1,1597868.05,84.85,222.0384109
1,1494122.38,77.66,222.1719457
1,1582083.4,80.49,222.3054805
1,1661767.33,83.96,222.4390153
1,1517428.87,74.97,222.5820193
1,1506126.06,69.87,222.7818386
1,1437059.26,76.08,222.9816579
1,1670785.97,68.55,223.1814772
1,1573072.81,62.99,223.3812965
1,1508068.77,67.97,223.4257233
1,1493659.74,69.16,223.4442513
2,2136989.46,40.19,210.7526053
2,2137809.5,38.49,210.8979935
2,2124451.54,39.69,210.9451605
2,1865097.27,46.1,210.9759573
2,1991013.13,47.17,211.0067542
2,1990483.78,57.56,211.037551
2,1946070.88,54.52,210.8733316
2,1750197.81,51.26,210.6766095
2,2066187.72,63.27,210.4798874
2,1954689.21,65.41,210.2831653
2,1874957.94,68.07,210.1495463
2,1821990.93,65.11,210.1000648
2,1802450.29,66.98,210.0505833
2,2042581.71,71.28,210.0011018
2,1880752.36,73.31,209.9984585
2,1896937.1,74.83,210.2768443
2,1957113.89,81.13,210.5552301
2,2102539.93,81.81,210.833616
2,2025538.76,83.4,211.1120018
2,2001636.96,85.81,211.1096543
2,1939927.09,86.26,210.9950134
2,2003940.64,82.74,210.8803726
2,1880902.62,82.59,210.7657317
2,1845879.79,85.32,210.7577954
2,1781717.71,87.66,210.8921319
2,1804246.16,83.49,211.0264684
2,1991909.98,89.53,211.1608049
2,1895601.05,89.05,211.2951413
2,1964335.23,88.7,211.2596586
2,1863840.49,87.12,211.2241759
2,1904608.09,81.83,211.1886931
2,1839128.83,79.09,211.1532104
2,1793903.6,82.05,211.1806415
2,1724557.22,81.79,211.2552578
2,1827440.43,69.24,211.3298742
2,1849921.44,63.19,211.4044906
2,1794355.49,65.8,211.4713286
2,1737947.64,68.5,211.5187208
2,1802755.11,66.24,211.5661131
2,1939061.41,57.85,211.6135053
2,1916812.74,59.69,211.6608975
2,1956739.17,50.81,211.5470304
2,2658725.29,62.98,211.4062867
2,2015781.27,49.33,211.265543
2,2378726.55,45.5,211.1247993
2,2609166.75,47.55,211.0645458
2,3436007.68,49.97,211.0646599
2,1750434.55,47.3,211.064774
2,1758050.79,44.69,211.0648881
2,1744193.58,33.02,211.1176713
2,1751384.9,41.4,211.4864691
2,1695371.68,42.83,211.8552668
2,1929346.23,38.25,212.2240646
2,2168041.61,33.19,212.5928624
2,2080884.82,57.83,212.9033115
2,1833511.08,60.8,213.190421
2,1981607.78,57.77,213.4775305
2,1879107.31,52.7,213.7646401
2,1902557.66,62.32,214.0156238
2,1766162.05,69.42,214.2521573
2,1800171.36,55.43,214.4886908
2,1847552.61,67,214.7252242
2,1856467.84,69.48,214.9420631
2,1886339.6,69.39,215.1096657
2,1745545.28,69.21,215.2772683
2,1837743.6,61.48,215.4448709
2,1838513.07,74.61,215.6124735
2,1688281.86,67.14,215.3834778
2,1797732.56,76.42,215.1544822
2,1933756.21,83.07,214.9254865
2,1929153.16,83.4,214.6964908
2,1953771.99,86.53,214.6513538
2,1790925.8,85.17,214.7441108
2,1866243,85.69,214.8368678
2,1853161.99,87.7,214.9296249
2,1785187.29,89.83,215.0134426
2,1743816.41,89.34,215.0749122
2,1680693.06,90.07,215.1363819
2,1876704.26,93.34,215.1978515
2,1812768.26,91.58,215.2593211
2,1844094.59,89.86,215.3229307
2,1821139.91,90.45,215.386897
2,1809119.7,89.64,215.4508632
2,1748000.65,77.97,215.5148295
2,1691439.52,78.85,215.6944378
2,1669299.78,75.58,216.0282356
2,1650394.44,78.14,216.3620333
2,1837553.43,69.92,216.6958311
2,1743882.19,71.67,217.0048261
2,1834680.25,64.53,217.1650042
2,1769296.25,65.87,217.3251824
2,1959707.9,55.53,217.4853605
2,1920725.15,59.33,217.6455387
2,1902762.5,62.01,217.8670218
2,2614202.3,56.36,218.1130269
2,1954952,48.74,218.3590319
2,2290549.32,41.76,218.605037
2,2432736.52,50.13,218.8217928
2,3224369.8,46.66,218.9995495
2,1874226.52,44.57,219.1773063
2,1799520.14,46.75,219.355063
2,1744725.48,45.99,219.5328198
2,1711769.11,51.7,219.6258417
2,1660906.14,50.5,219.7188636
2,1935299.94,55.21,219.8118854
2,2103322.68,46.98,219.9049073
2,2196688.46,43.82,220.0651993
2,1861802.7,54.63,220.275944
2,1952555.66,58.79,220.4866886
2,1937628.26,57.11,220.6974332
2,1976082.13,63.68,220.8498468
2,1790439.16,64.01,220.9244858
2,1857480.84,66.83,220.9991248
2,2129035.91,68.43,221.0737638
2,1935869.1,68.08,221.1484028
2,1847344.45,65.69,221.2021074
2,1764133.09,67.2,221.255812
2,1923957.09,76.73,221.3095166
2,1917520.99,73.87,221.3632212
2,2000940.67,71.27,221.380331
2,1912791.09,78.19,221.3828029
2,1910092.37,78.38,221.3852748
2,2010216.49,78.69,221.3877467
2,1962924.3,80.56,221.4009901
2,1887733.21,81.04,221.4411622
2,1881046.12,86.32,221.4813343
2,2041507.4,84.2,221.5215064
2,1830075.13,80.17,221.5616784
2,1819666.46,83.23,221.5701123
2,1757923.88,86.37,221.5785461
2,1946104.64,90.22,221.5869799
2,1866719.96,88.55,221.5954138
2,1928016.01,84.79,221.6751459
2,1876788.15,76.91,221.8083518
2,1947083.3,82.64,221.9415576
2,1898777.07,87.65,222.0747635
2,1814806.63,75.88,222.2174395
2,1829415.67,71.09,222.4169362
2,1746470.56,79.45,222.6164329
2,1998321.04,70.27,222.8159296
2,1900745.13,60.97,223.0154263
2,1847990.41,68.08,223.0598077
2,1834458.35,69.79,223.0783366
3,461622.22,45.71,214.4248812
3,420728.96,47.93,214.5747916
3,421642.19,47.07,214.6198868
3,407204.86,52.05,214.6475127
3,415202.04,53.04,214.6751386
3,384200.69,63.08,214.7027646
3,375328.59,60.42,214.5301219
3,359949.27,57.06,214.3241011
3,423294.4,65.56,214.1180803
3,415870.28,68,213.9120595
3,354993.26,66.98,213.7726889
3,339976.65,67.87,213.7221852
3,361248.39,70.24,213.6716815
3,399323.86,73.47,213.6211778
3,384357.94,77.18,213.6196139
3,343763.17,75.81,213.9116886
3,350089.23,78.6,214.2037634
3,396968.8,78.53,214.4958382
3,355017.09,82.1,214.787913
3,364076.85,83.52,214.7858259
3,357346.48,83.79,214.6660741
3,381151.72,82.2,214.5463222
3,349214.18,81.75,214.4265704
3,352728.78,84.32,214.4176476
3,352864.49,83.32,214.5564968
3,347955.05,82.04,214.695346
3,402635.76,85.13,214.8341952
3,339597.38,86.74,214.9730444
3,351728.21,88.02,214.9314191
3,362134.09,86.15,214.8897938
3,366473.97,84.16,214.8481685
3,352260.97,80.84,214.8065431
3,363064.64,82.36,214.8322484
3,355626.87,76.9,214.9084516
3,358784.1,73.6,214.9846548
3,395107.35,66.99,215.060858
3,345584.39,69.71,215.1293114
3,348895.98,71.64,215.17839
3,348591.74,72.04,215.2274686
3,423175.56,62.94,215.2765472
3,386635.03,62.79,215.3256258
3,372545.32,57.72,215.2074519
3,565567.84,68.71,215.0614025
3,476420.77,53.76,214.9153531
3,467642.03,51.13,214.7693037
3,498159.39,52.2,214.704919
3,605990.41,57.16,214.7017828
3,382677.76,53.2,214.6986466
3,378241.34,53.35,214.6955104
3,381061.1,44.76,214.7470729
3,350876.7,50.74,215.1268275
3,364866.24,48.71,215.5065821
3,438516.53,45.95,215.8863367
3,430526.21,43.57,216.2660913
3,432782.1,61.58,216.5843571
3,397211.19,67.4,216.8780275
3,437084.51,65.11,217.1716979
3,404753.3,61.29,217.4653683
3,392109.51,69.47,217.7235226
3,380683.67,72.94,217.9674705
3,374556.08,68.76,218.2114184
3,384075.31,72.55,218.4553663
3,366250.69,75.88,218.6788642
3,391860.04,76.91,218.851237
3,367405.4,78.69,219.0236099
3,413042.12,69.45,219.1959827
3,386312.68,79.87,219.3683556
3,364603.13,75.79,219.127216
3,369350.6,84.41,218.8860765
3,394507.84,84.29,218.6449369
3,391638.75,84.84,218.4037974
3,403423.34,86.96,218.3551748
3,385520.71,84.94,218.45094
3,368962.72,85.1,218.5467052
3,395146.24,85.38,218.6424704
3,373454.33,87.14,218.7275216
3,360617.37,86.19,218.7857881
3,345381.29,88.07,218.8440545
3,409981.25,88.45,218.9023209
3,380376.85,88.88,218.9605873
3,379716.91,88.44,219.023271
3,366367.55,87.67,219.0866908
3,375988.69,89.12,219.1501106
3,377347.49,81.72,219.2135305
3,375629.51,83.63,219.3972867
3,365248.94,80.19,219.7414914
